INFO  2012-06-28 11:09:27,727 190433ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-06-28 11:09:27,727 190433ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-06-28 11:09:27,727 190433ms MainViewModel          <WaitBalloon>b__1  - || == View Timer :7
DEBUG 2012-06-28 11:09:27,727 190433ms MainViewModel          <WaitBalloon>b__1  - || ==> Popup Closed.......
DEBUG 2012-06-28 11:09:27,727 190433ms MainViewModel          <WaitBalloon>b__1  - || ================================= 

DEBUG 2012-06-28 11:09:32,727 195434ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-06-28 11:09:32,727 195434ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-06-28 11:09:32,727 195434ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:12
DEBUG 2012-06-28 11:09:32,727 195434ms MainViewModel          _timer_Tick        - || == TimeOut :12
DEBUG 2012-06-28 11:09:32,789 195496ms MainViewModel          SetLesson          - || == Current Item : 5/160
DEBUG 2012-06-28 11:09:32,899 195605ms MainViewModel          _timer_Tick        - || =================================

DEBUG 2012-06-28 11:09:32,899 195605ms MainViewModel          _timer_Tick        - || ==> Is Popup Showing
INFO  2012-06-28 11:09:39,899 202606ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-06-28 11:09:39,899 202606ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-06-28 11:09:39,899 202606ms MainViewModel          <WaitBalloon>b__1  - || == View Timer :6
DEBUG 2012-06-28 11:09:39,899 202606ms MainViewModel          <WaitBalloon>b__1  - || ==> Popup Closed.......
DEBUG 2012-06-28 11:09:39,899 202606ms MainViewModel          <WaitBalloon>b__1  - || ================================= 

DEBUG 2012-06-28 11:09:44,899 207606ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-06-28 11:09:44,899 207606ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-06-28 11:09:44,899 207606ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:12
DEBUG 2012-06-28 11:09:44,899 207606ms MainViewModel          _timer_Tick        - || == TimeOut :12
DEBUG 2012-06-28 11:09:44,977 207684ms MainViewModel          SetLesson          - || == Current Item : 6/160
DEBUG 2012-06-28 11:09:45,087 207793ms MainViewModel          _timer_Tick        - || =================================

DEBUG 2012-06-28 11:09:45,087 207793ms MainViewModel          _timer_Tick        - || ==> Is Popup Showing
INFO  2012-06-28 11:09:52,087 214794ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-06-28 11:09:52,087 214794ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-06-28 11:09:52,087 214794ms MainViewModel          <WaitBalloon>b__1  - || == View Timer :7
DEBUG 2012-06-28 11:09:52,087 214794ms MainViewModel          <WaitBalloon>b__1  - || ==> Popup Closed.......
DEBUG 2012-06-28 11:09:52,087 214794ms MainViewModel          <WaitBalloon>b__1  - || ================================= 

DEBUG 2012-06-28 11:09:57,087 219794ms MainViewModel          _timer_Tick        - || =============Summary=============
